"id","name","start","dist","up","down","end","type","surface","map","deprecated","neighborhoods","coarse_neighborhoods","start_neighborhood","end_neighborhood"
"bainbridge-coast-to-coast-loop","Bainbridge Coast-to-coast Loop","Bainbridge","13.3","1500","1500.0","Bainbridge","Loop","Mixed","https://onthegomap.com/s/tfok51fh","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"beacon-mt-sound-i90-trail-judkins-ob","OB: Beacon, Mt Sound, I90 Trail, Judkins Park","Beacon","4.3","519","519.0","Beacon","OB","Road","https://onthegomap.com/s/8qsq84ct","","Atlantic;North Beacon Hill","Beacon Hill;Central Area","North Beacon Hill","North Beacon Hill"
"beacon-i90-trail-cap-hill","Beacon Hill, I90 Trail, Cap Hill","Beacon","4.8","530","480.0","CapHill","P2P","Road","https://onthegomap.com/s/8jo5uqcm","","Atlantic;Broadway;First Hill;International District;North Beacon Hill;Yesler Terrace","Beacon Hill;Capitol Hill;Central Area;Downtown","North Beacon Hill","Broadway"
"beacon-cheasty-lwb-genessee-cc","Beacon, Cheasty, Genessee Park, Columbia City","Beacon","5.9","360","520.0","ColCity","P2P","Road","https://onthegomap.com/s/udl7ppi4","","Columbia City;Mount Baker;North Beacon Hill;Seward Park","Beacon Hill;Rainier Valley;Seward Park","North Beacon Hill","Columbia City"
"beacon-jefferson-park-chief-sealth-new-holly-ob","OB: Beacon, Jefferson Park, Chief Sealth Trail, New Holly","Beacon","7.7","600","600.0","Beacon","OB","Road","https://onthegomap.com/s/q5s1umj8","","Holly Park;Mid-Beacon Hill;North Beacon Hill","Beacon Hill","North Beacon Hill","North Beacon Hill"
"beacon-cheasty-lwb-seward-cc","Beacon, Cheasty, Seward Park, Columbia City","Beacon","8.7","580","","ColCity","P2P","","https://onthegomap.com/s/3nunbt2c","","Columbia City;Mount Baker;North Beacon Hill;Seward Park","Beacon Hill;Rainier Valley;Seward Park","North Beacon Hill","Columbia City"
"beacon-i90-bridge-cap-hill","Beacon Hill, I90 Bridge, Cap Hill","Beacon","10.1","1190","","CapHill","P2P","","https://onthegomap.com/s/kps8bd3u","","Atlantic;Broadway;First Hill;International District;Mount Baker;North Beacon Hill;Yesler Terrace","Beacon Hill;Capitol Hill;Central Area;Downtown;Rainier Valley","North Beacon Hill","Broadway"
"beacon-cheasty-lwb-seward-loop-cc","Beacon, Cheasty, Seward Park Loop, Columbia City","Beacon","11.1","690","","ColCity","P2P","","https://onthegomap.com/s/eajn1tqk","","Columbia City;Mount Baker;North Beacon Hill;Seward Park","Beacon Hill;Rainier Valley;Seward Park","North Beacon Hill","Columbia City"
"beacon-i90-luther-burbank-ob","OB: Beacon, I90, Luther Burbank","Beacon","13.1","1470","","Beacon","OB","","https://onthegomap.com/s/4kn8h5of","","Atlantic;Mount Baker;North Beacon Hill","Beacon Hill;Central Area;Rainier Valley","North Beacon Hill","North Beacon Hill"
"bell-dtwn-parks-lake-larsen-lake-phantom-ob","OB: Bellevue Downtown, Parks, Lake Larsen, Lake Phantom","BellDtwn","10.8","1090","","BellDtwn","OB","","https://onthegomap.com/s/igk1l3k6","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"blyth-park-tolt-pipeline-trail-full-ob","OB: Blyth Park, Tolt Pipeline Trail Full","BlythPark","22.0","3200","3200.0","BlythPark","OB","Gravel","https://onthegomap.com/s/v428vfj8","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"cap-hill-volunteer-park-westlake","Cap Hill, Volunteer Park, Westlake","CapHill","4.0","279","","Westlake","P2P","","https://onthegomap.com/s/b9i31iru","","Belltown;Broadway;Central Business District;Denny Triangle;South Lake Union","Capitol Hill;Cascade;Downtown","Broadway","Central Business District"
"cap-hill-i90-trail-beacon","Cap Hill, I90 Trail, Beacon Hill","CapHill","4.8","490","530.0","Beacon","P2P","","https://onthegomap.com/s/6c9e2s9c","","Atlantic;Broadway;First Hill;International District;North Beacon Hill;Yesler Terrace","Beacon Hill;Capitol Hill;Central Area;Downtown","Broadway","North Beacon Hill"
"cap-hill-ship-canal-salmon-bay-burke-cse","Cap Hill, Ship Canal, Salmon Bay, Burke, CSE","CapHill","9.6","380","","CSE","P2P","","https://onthegomap.com/s/ct0am25g","","Broadway;East Queen Anne;Fremont;North Queen Anne;South Lake Union;University District;University of Washington;Wallingford;West Woodland;Westlake","Ballard;Capitol Hill;Cascade;North Central;Queen Anne;University District","Broadway","University of Washington"
"cap-hill-i90-ob","OB: Cap Hill, I90 Bridge","CapHill","10.7","1220","","CapHill","OB","","https://onthegomap.com/s/6qcstgh2","","Atlantic;Broadway;First Hill;International District;Mount Baker;Yesler Terrace","Capitol Hill;Central Area;Downtown;Rainier Valley","Broadway","Broadway"
"cap-hill-i90-trail-lwb-arborlaken-loop","Cap Hill, I90 Trail, LWB, Arborlaken Loop","CapHill","10.8","1270","","CapHill","Loop","","https://onthegomap.com/s/ia4ncds8","","Atlantic;Broadway;First Hill;Harrison/Denny-Blaine;International District;Leschi;Madison Park;Madrona;Montlake;Mount Baker;North Beacon Hill;Stevens;Yesler Terrace","Beacon Hill;Capitol Hill;Central Area;Downtown;Rainier Valley","Broadway","Broadway"
"cid-i90-trail-south-bellvue","CID, I90 Trail, South Bellevue","CID","8.3","880","880.0","SoBell","P2P","Road","https://onthegomap.com/s/7qcn3m9s","","Atlantic;International District;Mount Baker;North Beacon Hill;SODO","Beacon Hill;Central Area;Downtown;Greater Duwamish;Rainier Valley","International District","Mount Baker"
"cid-marginal-alki-sodo","CID, Marginal Way, Alki Beach, SODO","CID","14.0","380","","SODO","P2P","","https://onthegomap.com/s/3d6vd5cq","","Alki;Harbor Island;Industrial District;International District;Pioneer Square;SODO","Downtown;Greater Duwamish;West Seattle","International District","SODO"
"cc-chief-sealth-cc-center-loop","Columbia City, Chief Sealth, CC Center Loop","ColCity","3.0","342","","ColCity","Loop","","https://onthegomap.com/s/4g3uoh3d","","Columbia City;Mid-Beacon Hill","Beacon Hill;Rainier Valley","Columbia City","Columbia City"
"cc-chief-sealth-new-holly-ob","OB: Columbia City, Chief Sealth Trail, New Holly","ColCity","4.9","486","486.0","ColCity","OB","","https://onthegomap.com/s/n6omlate","","Columbia City;Holly Park;Mid-Beacon Hill","Beacon Hill;Rainier Valley","Columbia City","Columbia City"
"cc-genessee-lwb-rainier-loop","Columbia City, Genessee Park, LWB, Rainier Ave Loop","ColCity","5.3","428","","ColCity","Loop","","https://onthegomap.com/s/ao044p9r","","Columbia City;Seward Park","Rainier Valley;Seward Park","Columbia City","Columbia City"
"cc-genessee-lwb-north-ob","OB: Columbia City, Genessee Park, LWB North","ColCity","5.7","283","","ColCity","OB","","https://onthegomap.com/s/cnnrmgo2","","Columbia City;Mount Baker;Seward Park","Rainier Valley;Seward Park","Columbia City","Columbia City"
"cc-genessee-lwb-south-ob","OB: Columbia City, Genessee Park, LWB South","ColCity","6.8","327","","ColCity","OB","","https://onthegomap.com/s/gm7lr79r","","Columbia City;Mid-Beacon Hill;Seward Park","Beacon Hill;Rainier Valley;Seward Park","Columbia City","Columbia City"
"cc-genessee-lwb-seward-loop","Columbia City, Genessee Park, LWB, Seward Loop","ColCity","7.8","560","","ColCity","Loop","","https://onthegomap.com/s/cjuu8fgl","","Columbia City;Seward Park","Rainier Valley;Seward Park","Columbia City","Columbia City"
"cc-genessee-lwb-seward-loop-ob","OB: Columbia City, Genessee Park, Seward Loop","ColCity","9.2","440","","ColCity","OB","","https://onthegomap.com/s/9shfec5e","","Columbia City;Seward Park","Rainier Valley;Seward Park","Columbia City","Columbia City"
"colman-park-lwb-seward-loop-ob","OB: Colman Park, LWB, Seward Loop","ColmanPark","8.9","43","","ColmanPark","OB","","https://onthegomap.com/s/46vnrb8m","true","Mount Baker;Seward Park","Rainier Valley;Seward Park","Mount Baker","Mount Baker"
"cougar-north-loop-01","Cougar North Loop 01","Cougar","4.8","810","810.0","Cougar","Loop","Trail","https://onthegomap.com/s/ip0vi63l","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"cougar-south-loop-01","Cougar South Loop 01","Cougar","7.6","1470","1470.0","Cougar","Loop","Trail","https://onthegomap.com/s/do532cjh","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"cougar-ellis-loop","Cougar Ellis Loop","Cougar","12.7","2700","2700.0","Cougar","Loop","Trail","https://onthegomap.com/s/j31uo7bu","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"cougar-airshaft-wilderness-falls-loop","Cougar Mountain, Airshaft, Wilderness Peak, Falls Loop","Cougar","13.3","2700","2700.0","Cougar","Loop","Trail","https://onthegomap.com/s/omksjsr7","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"cse-portage-bay-loop","CSE, Portage Bay Loop","CSE","3.8","393","","CSE","Loop","","https://onthegomap.com/s/c5d3qp0b","","Montlake;Portage Bay;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-arboretum-azalea-way-ob","OB: CSE, Arboretum, Azalea Way","CSE","3.9","418","","CSE","OB","","https://onthegomap.com/s/mafjulde","","Madison Park;Montlake;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-foster-arboretum-ob","OB: CSE, Foster, Arboretum","CSE","4.0","438","","CSE","OB","","https://onthegomap.com/s/uofrci53","","Madison Park;Montlake;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-gas-works-ob","OB: CSE, Gas Works","CSE","4.0","247","","CSE","OB","","https://onthegomap.com/s/ocdc04ek","","University District;University of Washington;Wallingford","North Central;University District","University of Washington","University of Washington"
"cse-foster-montlake-playfield-loop","CSE, Foster, Montlake Playfield Loop","CSE","4.1","458","","CSE","Loop","","https://onthegomap.com/s/am74pbhq","","Madison Park;Montlake;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-arboretum-interlaken-loop","CSE, Arboretum, Interlaken Loop","CSE","4.2","507","","CSE","Loop","","https://onthegomap.com/s/3h2bvggg","","Madison Park;Montlake;Stevens;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-foster-arboretum-montlake-loop","CSE, Foster, Arboretum, Montlake Loop","CSE","4.2","442","","CSE","Loop","","https://onthegomap.com/s/rr87a29f","","Madison Park;Montlake;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-ravenna-loop-ob","OB: CSE, Ravenna Park Loop","CSE","4.2","387","","CSE","OB","","https://onthegomap.com/s/ka4bcat0","","Ravenna;Roosevelt;University District;University Heights;University of Washington","Northeast;University District","University of Washington","University of Washington"
"cse-eastlake-stairs-volunteer-park-cap-hill","CSE, Eastlake Stairs, Volunteer Park, Cap Hill","CSE","4.8","620","400.0","CapHill","P2P","Road","https://onthegomap.com/s/h0joa9sn","","Broadway;Eastlake;Montlake;South Lake Union;Stevens;University District;University of Washington","Capitol Hill;Cascade;University District","University of Washington","Broadway"
"cse-24th-volunteer-ob","OB: CSE, 24th Ave, Volunteer Park","CSE","5.1","710","","CSE","OB","","https://onthegomap.com/s/7i9ssch3","","Broadway;Montlake;Stevens;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-foster-arboretum-interlaken-loop","CSE, Foster, Arboretum, Interlaken Loop","CSE","5.4","600","","CSE","Loop","","https://onthegomap.com/s/made1kk1","","Madison Park;Montlake;Stevens;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-foster-arboretum-loop","CSE, Foster, Arboretum Loop","CSE","5.7","580","","CSE","Loop","","https://onthegomap.com/s/ngimn8at","","Madison Park;Montlake;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-arboretum-interlaken-portage-bay-loop","CSE, Arboretum, Interlaken, Portage Bay Loop","CSE","6.1","810","","CSE","Loop","","https://onthegomap.com/s/0prd34i2","","Broadway;Madison Park;Montlake;Portage Bay;Stevens;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-laurelhurst-loop","CSE, Laurelhurst Loop","CSE","6.2","391","","CSE","Loop","","https://onthegomap.com/s/ou8ums4m","","Bryant;Laurelhurst;Ravenna;University District;University of Washington;Windermere","Northeast;University District","University of Washington","University of Washington"
"cse-foster-arboretum-interlaken-bay-loop","CSE, Foster, Arboretum, Interlaken, Bay Loop","CSE","6.5","660","","CSE","Loop","","https://onthegomap.com/s/c4bi4qkc","","Madison Park;Montlake;Portage Bay;Stevens;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-arb-lwb-mt-baker","CSE, Arboretum, LWB, Mt Baker","CSE","6.8","570","","MtBaker","P2P","","https://onthegomap.com/s/jcdl7tgl","","Columbia City;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;North Beacon Hill;Stevens;University of Washington","Beacon Hill;Capitol Hill;Central Area;Rainier Valley;University District","University of Washington","North Beacon Hill"
"cse-eastlake-stairs-volunteer-arboretum-loop","CSE, Eastlake Stairs, Volunteer, Arboretum Loop","CSE","7.0","840","","CSE","Loop","","https://onthegomap.com/s/1vja44t2","","Broadway;Eastlake;Madison Park;Montlake;Portage Bay;South Lake Union;Stevens;University of Washington","Capitol Hill;Cascade;University District","University of Washington","University of Washington"
"cse-nature-hawthorne-bryant-loop","CSE, Nature Trail, Hawthorne Hills, Bryant Loop","CSE","7.0","510","","CSE","Loop","","https://onthegomap.com/s/sd2j81bq","","Bryant;Laurelhurst;Ravenna;University District;University of Washington;View Ridge;Wedgwood;Windermere","Northeast;University District","University of Washington","University of Washington"
"cse-520-bell-dtwn","CSE, 520, Downtown Bellevue","CSE","7.6","540","","BellDtwn","P2P","","https://onthegomap.com/s/gip7ge6p","","Montlake;University of Washington","Capitol Hill;University District","University of Washington","Montlake"
"cse-520-ob","OB: CSE, 520","CSE","7.6","590","","CSE","OB","","https://onthegomap.com/s/3ho0rufu","","Montlake;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-laurelhurst-windemere-loop","CSE, Laurelhurst, Windemere Loop","CSE","7.7","720","","CSE","Loop","","https://onthegomap.com/s/r1tq3v1f","","Bryant;Laurelhurst;Ravenna;University District;University of Washington;Windermere","Northeast;University District","University of Washington","University of Washington"
"cse-arb-lwb-i90-trail-stairs-beacon","CSE, Arboretum, LWB, I90 Trail, Stairs, Beacon","CSE","7.8","1100","","Beacon","P2P","","https://onthegomap.com/s/cl00d72b","","Atlantic;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;North Beacon Hill;Stevens;University of Washington","Beacon Hill;Capitol Hill;Central Area;Rainier Valley;University District","University of Washington","North Beacon Hill"
"cse-cap-hill-parks-loop","CSE, Capitol Hill Parks Loop","CSE","8.1","1000","","CSE","Loop","","https://onthegomap.com/s/1cbgnq69","","Broadway;Harrison/Denny-Blaine;Madison Park;Mann;Minor;Montlake;Stevens;University of Washington","Capitol Hill;Central Area;University District","University of Washington","University of Washington"
