id,name,start,dist,up,down,end,type,surface,map,deprecated,neighborhoods,coarse_neighborhoods,start_neighborhood,end_neighborhood,transit
northgate-cemeteries-interurban-boeing-creek-ob,"OB: Northgate, Cemeteries, Interurban Trail, Boeing Creek",Northgate,12.1,1000,,Northgate,OB,,https://onthegomap.com/s/p9fqbats,,Maple Leaf;Bitter Lake;Licton Springs;Haller Lake,Northwest;Northgate,Maple Leaf,Maple Leaf,
northgate-echo-lake-ob,"OB: Northgate, Interurban Trail, Echo Lake",Northgate,12.4,580,,Northgate,OB,,https://onthegomap.com/s/mqvelf8h,,Greenwood;Maple Leaf;Bitter Lake;Licton Springs,Northwest;Northgate,Maple Leaf,Maple Leaf,
pacpav-kinnear-kerry-queen-anne-loop,"Paccar Pavilion, Kinnear, Kerry, Queen Anne Loop",PacPav,5.3,620,,PacPav,Loop,,https://onthegomap.com/s/os97cdo4,True,Interbay;East Queen Anne;West Queen Anne;Belltown;Lower Queen Anne,Downtown;Interbay;Queen Anne,Belltown,Belltown,
sculpture-park-interbay-ob,"OB: Sculpture Park, Interbary",PacPav,6.5,264,,PacPav,OB,,https://onthegomap.com/s/3pc0n4ej,True,Interbay;Belltown,Downtown;Interbay,Belltown,Belltown,
sculpture-park-interbay-ship-canal-wlave-loop,"Sculpture Park, Interbay, Ship Canal, Westlake Ave Loop",PacPav,8.9,400,,PacPav,Loop,,https://onthegomap.com/s/9pcf7pb3,True,South Lake Union;Westlake;North Queen Anne;Interbay;Southeast Magnolia;East Queen Anne;Belltown;Lower Queen Anne,Cascade;Downtown;Interbay;Queen Anne;Magnolia,Belltown,Belltown,
pacpav-lake-union-loop,"Paccar Pavilion, Seattle Center, Lake Union Loop",PacPav,9.2,550,,PacPav,Loop,,https://onthegomap.com/s/smaakonk,True,South Lake Union;Westlake;Wallingford;Eastlake;East Queen Anne;Belltown;University District;Lower Queen Anne;Fremont,North Central;Cascade;Downtown;Queen Anne;University District,Belltown,Belltown,
redwater-loop,Redmond Watershed Preserve Loop,RedWater,4.6,533,533.0,RedWater,Loop,Trail,https://onthegomap.com/s/1fo2771e,,non-Seattle,,non-Seattle,non-Seattle,
roosevelt-green-lake-loop,"Roosevelt, Green Lake Loop",Roosevelt,4.3,152,,Roosevelt,Loop,,https://onthegomap.com/s/dl3ne2h5,,Green Lake;Roosevelt,Northeast;North Central,Roosevelt,Roosevelt,
"roosevelt-cse-p2p","Roosevelt, Ravenna, Burke, CSE","Roosevelt","4.7","339","450","CSE","P2P","","https://onthegomap.com/s/3r8tkhtn",,,,
roosevelt-green-lake-rose-gardens-loop,"Roosevelt, Green Lake, Rose Gardens Loop",Roosevelt,6.4,400,,Roosevelt,Loop,,https://onthegomap.com/s/4oft807m,,Green Lake;Phinney Ridge;Roosevelt,Northeast;North Central,Roosevelt,Roosevelt,
roosevelt-magnuson-loop,"Roosevelt, Magnuson Loop",Roosevelt,8.5,1060,,Roosevelt,Loop,,https://onthegomap.com/s/6g9jkjg8,,View Ridge;Ravenna;Sand Point;Wedgwood;Roosevelt;Bryant;Windermere,Northeast,Roosevelt,Roosevelt,
roosevelt-carkeek-phinney-ridge-loop,"Roosevelt, Carkeek, Phinney Ridge Loop",Roosevelt,11.4,880,,Roosevelt,Loop,,https://onthegomap.com/s/chook6dv,,Crown Hill;Phinney Ridge;Whittier Heights;Roosevelt;North Beach/Blue Ridge;Broadview;Green Lake;Greenwood,Northwest;Northeast;North Central;Ballard,Roosevelt,Roosevelt,
roosevelt-carkeek-golden-gardens-roses-loop,"Roosevelt, Carkeek, Golden Gardens, Roses Loop",Roosevelt,14.9,1260,,Roosevelt,Loop,,https://onthegomap.com/s/mtm7umvc,,Crown Hill;Phinney Ridge;West Woodland;Ballard;Loyal Heights;Roosevelt;North Beach/Blue Ridge;Broadview;Green Lake;Sunset Hill;Greenwood,Northwest;Northeast;North Central;Ballard,Roosevelt,Roosevelt,
seward-park-loop,Seward Park Loop,Seward,2.4,170,,Seward,Loop,,https://onthegomap.com/s/0fetb9ad,True,Seward Park,Seward Park,Seward Park,Seward Park,
sobell-mercer-slough-park-loop,"South Bellevue, Mercer Slough Park Loop",SoBell,3.5,274,274.0,SoBell,Loop,,https://onthegomap.com/s/abcba8ks,,non-Seattle,,non-Seattle,non-Seattle,
sobell-follow-2-line-redtech,"South Bellevue, Follow 2 Line, Redmond Technology Center",SoBell,7.8,680,380.0,RedTech,P2P,Road,https://onthegomap.com/s/k2tecdam,,non-Seattle,,non-Seattle,non-Seattle,
south-discovery-magnolia-elliott-bay-cranes-alki,"South Discovery, Magnolia, Elliott Bay Trail, Cranes, Alki Beach",SoDisco,13.7,510,,Alki,P2P,,https://onthegomap.com/s/cf62rbka,True,Industrial District;Interbay;Southeast Magnolia;Pioneer Square;Briarcliff;Harbor Island;Alki;Central Business District;Lawton Park;Belltown;Pike-Market;SODO,Downtown;Interbay;West Seattle;Greater Duwamish;Magnolia,Lawton Park,Alki,
sodo-4th-ave-airport-way-industrial-loop,"SODO, 4th Ave, Airport Way Industrial Loop",SODO,4.3,47,,SODO,Loop,,https://onthegomap.com/s/a7rniok4,,Industrial District;Georgetown;SODO,Greater Duwamish,SODO,SODO,
sodo-mts-sound-i90-trail-ob,"OB: SODO, Mts to Sound, I90 Trail, East Portal View",SODO,6.3,810,,SODO,OB,,https://onthegomap.com/s/hj89dka2,,North Beacon Hill;Atlantic;Mount Baker;SODO,Beacon Hill;Central Area;Greater Duwamish;Rainier Valley,SODO,SODO,
sodo-duwamish-trail-1st-loop,"SODO, Duwamish Trail, 1st Ave Loop",SODO,7.9,172,,SODO,Loop,,https://onthegomap.com/s/9olfocio,,South Park;Industrial District;Harbor Island;Georgetown;North Delridge;SODO,Greater Duwamish;Delridge,SODO,SODO,
sodo-jack-block-ob,"OB: SODO, Jack Block Park",SODO,8.3,410,,SODO,OB,,https://onthegomap.com/s/1k1cibr8,,Industrial District;Harbor Island;SODO,Greater Duwamish,SODO,SODO,
sodo-luna-pier-ob,"OB: SODO, Luna Pier",SODO,9.2,320,,SODO,OB,,https://onthegomap.com/s/cm9vrvku,,Industrial District;Alki;Harbor Island;SODO,Greater Duwamish;West Seattle,SODO,SODO,
sodo-alki-schmitz-andover-loop,"SODO, Alki Beach, Schmitz Blvd, Andover Loop",SODO,11.4,850,,SODO,Loop,,https://onthegomap.com/s/ethu3clh,,Industrial District;Genesee;Harbor Island;Fairmount Park;Alki;North Delridge;North Admiral;SODO,Delridge;Greater Duwamish;West Seattle,SODO,SODO,
sodo-alki-beach-little-liberty-ob,"OB: SODO, Alki Beach, Little Liberty",SODO,12.3,390,,SODO,OB,,https://onthegomap.com/s/a3kpgjus,,Industrial District;Alki;Harbor Island;SODO,Greater Duwamish;West Seattle,SODO,SODO,
sodo-alki-beach-half-ob,"OB: SODO, Alki Beach Half",SODO,13.1,390,,SODO,OB,,https://onthegomap.com/s/ltn82g3o,,Industrial District;Alki;Harbor Island;SODO,Greater Duwamish;West Seattle,SODO,SODO,
sodo-alki-beach-drive-puget-park-loop,"SODO, Alki, Beach Drive, Puget Park Loop",SODO,14.2,960,,SODO,Loop,,https://onthegomap.com/s/dujb94hc,,Industrial District;Seaview;Harbor Island;Riverview;Fairmount Park;High Point;Alki;North Delridge;SODO,Delridge;Greater Duwamish;West Seattle,SODO,SODO,
sodo-alki-camp-long-chinese-garden-loop,"SODO, Alki, Camp Long, Chinese Garden Loop",SODO,16.2,1140,,SODO,Loop,,https://onthegomap.com/s/1a2n3nm9,,Industrial District;Seaview;Harbor Island;Riverview;Fairmount Park;High Point;Alki;North Delridge;SODO,Delridge;Greater Duwamish;West Seattle,SODO,SODO,
sodo-alki-lincoln-duwamish-1st-loop,"SODO, Alki Beach, Lincoln Park, Duwamish Trail, 1st Ave Loop",SODO,19.0,1200,,SODO,Loop,,https://onthegomap.com/s/sevrqk33,,South Park;Highland Park;Gatewood;Industrial District;Seaview;South Delridge;Harbor Island;Roxhill;Georgetown;Alki;Fauntleroy;SODO,Delridge;Greater Duwamish;West Seattle,SODO,SODO,
sodo-alki-lincoln-duwamish-loop,"SODO, Alki Beach, Lincoln Park, Duwamish Trail Loop",SODO,19.8,1400,,SODO,Loop,,https://onthegomap.com/s/6asb66pn,,South Park;North Delridge;Highland Park;Gatewood;Industrial District;Seaview;South Delridge;Harbor Island;Roxhill;Alki;Fauntleroy;SODO,Delridge;Greater Duwamish;West Seattle,SODO,SODO,
wash-park-interlaken-ob,"OB: Washington Park, Interlaken",WashPark,3.7,477,,WashPark,OB,,https://onthegomap.com/s/es3vs3pk,True,Stevens;Montlake,Capitol Hill,Stevens,Stevens,
wash-park-lwb-mt-baker-beach-ob,"OB: Washington Park, LWB, Mt Baker Beach",WashPark,7.1,550,,WashPark,OB,,https://onthegomap.com/s/akehjo3a,True,Stevens;Madison Park;Mount Baker;Leschi;Madrona;Harrison/Denny-Blaine,Central Area;Capitol Hill;Rainier Valley,Stevens,Stevens,
wash-park-lwb-sailing-club-ob,"OB: Washington Park, LWB, Sailing Club",WashPark,9.5,620,,WashPark,OB,,https://onthegomap.com/s/mrfgva4k,True,Stevens;Seward Park;Madison Park;Mount Baker;Leschi;Madrona;Harrison/Denny-Blaine,Central Area;Capitol Hill;Rainier Valley;Seward Park,Madison Park,Madison Park,
wash-park-lwb-seward-ob,"OB: Washington Park, LWB, Seward",WashPark,13.1,730,,WashPark,OB,,https://onthegomap.com/s/lpuhoalf,True,Stevens;Seward Park;Madison Park;Mount Baker;Leschi;Madrona;Harrison/Denny-Blaine,Central Area;Capitol Hill;Rainier Valley;Seward Park,Madison Park,Madison Park,
westlake-waterfront-cranes-sodo,"Westlake, Waterfront, Cranes, SODO",Westlake,4.4,90,,SODO,P2P,,https://onthegomap.com/s/3irg5bar,,Pioneer Square;Central Business District;Belltown;Pike-Market;SODO,Downtown;Greater Duwamish,Central Business District,SODO,
westlake-sculpture-park-ob,"OB: Westlake, Sculpture Park",Westlake,5.1,253,,Westlake,OB,,https://onthegomap.com/s/nfe3jmv0,,Central Business District;Interbay;Pike-Market;Belltown,Downtown;Interbay,Central Business District,Central Business District,
westlake-kerry-park-fairy-rings-dexter-loop,"Westlake, Kerry Park, Fairy Rings, Dexter Loop",Westlake,7.2,820,,Westlake,Loop,,https://onthegomap.com/s/nnpp0gcg,,South Lake Union;Westlake;North Queen Anne;Denny Triangle;Central Business District;East Queen Anne;West Queen Anne;Belltown;Lower Queen Anne,Cascade;Downtown;Queen Anne,Central Business District,Central Business District,
westlake-sculpture-park-kerry-park-loop,"Westlake, Sculpture Park, Kerry Park Loop",Westlake,7.3,740,,Westlake,Loop,,https://onthegomap.com/s/hee9mlan,,South Lake Union;Westlake;Interbay;Denny Triangle;Lower Queen Anne;Central Business District;West Queen Anne;East Queen Anne;Belltown;Pike-Market,Cascade;Downtown;Interbay;Queen Anne,Central Business District,Central Business District,
westlake-sculpture-smith-cove-ob,"OB: Westlake, Sculpture Park, Smith Cove",Westlake,9.3,410,,Westlake,OB,,https://onthegomap.com/s/rm6intki,,Central Business District;Interbay;Pike-Market;Belltown,Downtown;Interbay,Central Business District,Central Business District,
westlake-elliot-bay-ship-canal-dexter-loop,"Westlake, Elliot Bay, Ship Canal, Dexter Loop",Westlake,9.8,430,,Westlake,Loop,,https://onthegomap.com/s/rdqa9ltj,,South Lake Union;Westlake;Interbay;Southeast Magnolia;North Queen Anne;Lower Queen Anne;Central Business District;East Queen Anne;Belltown;Pike-Market,Cascade;Downtown;Interbay;Queen Anne;Magnolia,Central Business District,Central Business District,
westlake-sculpture-marina-ob,"OB: Westlake, Sculpture Park, Marina",Westlake,10.1,430,,Westlake,OB,,https://onthegomap.com/s/tjjt8fqt,,Interbay;Southeast Magnolia;Briarcliff;Central Business District;Belltown;Pike-Market,Magnolia;Downtown;Interbay,Central Business District,Central Business District,
westlake-sculpture-interbay-queen-anne-loop,"Westlake, Sculpture Park, Interbay, Queen Anne Loop",Westlake,10.2,840,,Westlake,Loop,,https://onthegomap.com/s/pmmqj3t5,,South Lake Union;Westlake;Interbay;North Queen Anne;Denny Triangle;Lower Queen Anne;Central Business District;West Queen Anne;East Queen Anne;Belltown;Pike-Market,Cascade;Downtown;Interbay;Queen Anne,Central Business District,Central Business District,
westlake-elliot-bay-tracks-ship-canal-dexter-loop,"Westlake, Elliot Bay, Tracks, Ship Canal, Dexter Loop",Westlake,11.7,540,,Westlake,Loop,,https://onthegomap.com/s/80cljbae,,South Lake Union;Westlake;Interbay;Southeast Magnolia;North Queen Anne;Lower Queen Anne;Central Business District;Lawton Park;East Queen Anne;Belltown;Pike-Market,Cascade;Downtown;Interbay;Queen Anne;Magnolia,Central Business District,Central Business District,
westlake-elliot-bay-locks-burke-westlake-loop,"Westlake, Elliot Bay, Locks, Burke, Westlake Loop",Westlake,11.8,540,,Westlake,Loop,,https://onthegomap.com/s/24tn5ijp,,South Lake Union;Westlake;West Woodland;Interbay;Southeast Magnolia;Ballard;Denny Triangle;Central Business District;Lawton Park;East Queen Anne;Belltown;Pike-Market;Fremont,North Central;Cascade;Downtown;Interbay;Queen Anne;Ballard;Magnolia,Central Business District,Central Business District,
westlake-cranes-alki-sodo,"Westlake, Cranes, Alki Beach, SODO",Westlake,15.5,400,,SODO,P2P,,https://onthegomap.com/s/v6ro8v6l,,Industrial District;Pioneer Square;Harbor Island;Alki;Central Business District;Belltown;Pike-Market;SODO,Downtown;Greater Duwamish;West Seattle,Central Business District,SODO,
